Year,Week,Crest,Colgate,Fecha
1962,36,0.408,0.286,03/09/1962
1962,37,0.383,0.275,10/09/1962
1962,38,0.357,0.244,17/09/1962
1962,39,0.374,0.341,24/09/1962
1962,40,0.366,0.331,01/10/1962
1962,41,0.346,0.25,08/10/1962
1962,42,0.381,0.22,15/10/1962
1962,43,0.329,0.293,22/10/1962
1962,44,0.474,0.205,29/10/1962
1962,45,0.397,0.254,05/11/1962
1962,46,0.436,0.268,12/11/1962
1962,47,0.417,0.211,19/11/1962
1962,48,0.43,0.203,26/11/1962
1962,49,0.388,0.271,03/12/1962
1962,50,0.453,0.29,10/12/1962
1962,51,0.316,0.323,17/12/1962
1962,52,0.414,0.253,24/12/1962
1963,1,0.396,0.23,31/12/1962
1963,2,0.42,0.22,07/01/1963
1963,3,0.432,0.235,14/01/1963
1963,4,0.453,0.228,21/01/1963
1963,5,0.43,0.216,28/01/1963
1963,6,0.327,0.324,04/02/1963
1963,7,0.388,0.268,11/02/1963
1963,8,0.377,0.257,18/02/1963
1963,9,0.466,0.194,25/02/1963
1963,10,0.478,0.212,04/03/1963
1963,11,0.365,0.218,11/03/1963
1963,12,0.472,0.216,18/03/1963
1963,13,0.399,0.276,25/03/1963
1963,14,0.391,0.19,01/04/1963
1963,15,0.473,0.249,08/04/1963
1963,16,0.384,0.172,15/04/1963
